Nation,Yr,Indicator,Amount,Data Source,Notes
Nigeria,2020,Life expectancy,69.144,World Bank (synthetic),
Nigeria,2021,Life expectancy,70.028,World Bank (synthetic),
Nigeria,2022,Life expectancy,69.869,World Bank (synthetic),
Nigeria,2015,CO2 per capita,7.775,World Bank (synthetic),
Nigeria,2016,CO2 per capita,7.686,World Bank (synthetic),
Nigeria,2017,CO2 per capita,7.577,World Bank (synthetic),
Nigeria,2018,CO2 per capita,7.468,World Bank (synthetic),
Nigeria,2019,CO2 per capita,7.504,World Bank (synthetic),
Nigeria,2020,CO2 per capita,7.184,World Bank (synthetic),
Nigeria,2021,CO2 per capita,7.344,World Bank (synthetic),
Nigeria,2022,CO2 per capita,7.247,World Bank (synthetic),
Nigeria,2023,CO2 per capita,7.179,World Bank (synthetic),
South Africa,2015,GDP per capita,12018.637,World Bank (synthetic),
South Africa,2016,GDP per capita,12453.116,World Bank (synthetic),
South Africa,2017,GDP per capita,12999.874,World Bank (synthetic),
South Africa,2018,GDP per capita,13348.804,World Bank (synthetic),
South Africa,2019,GDP per capita,13703.382,World Bank (synthetic),
South Africa,2020,GDP per capita,13751.237,World Bank (synthetic),
South Africa,2021,GDP per capita,14609.913,World Bank (synthetic),
South Africa,2022,GDP per capita,15189.633,World Bank (synthetic),
South Africa,2023,GDP per capita,15608.466,World Bank (synthetic),
South Africa,2015,Population,1212.243,World Bank (synthetic),
South Africa,2016,Population,1271.382,World Bank (synthetic),
South Africa,2017,Population,1263.397,World Bank (synthetic),
South Africa,2018,Population,1230.275,World Bank (synthetic),
South Africa,2019,Population,1298.953,World Bank (synthetic),
South Africa,2020,Population,1275.362,World Bank (synthetic),
South Africa,2021,Population,1291.984,World Bank (synthetic),
South Africa,2022,Population,1318.108,World Bank (synthetic),
South Africa,2023,Population,1369.748,World Bank (synthetic),
South Africa,2015,Life expectancy,73.12,World Bank (synthetic),
South Africa,2016,Life expectancy,74.883,World Bank (synthetic),
South Africa,2017,Life expectancy,74.864,World Bank (synthetic),
South Africa,2018,Life expectancy,73.148,World Bank (synthetic),
South Africa,2019,Life expectancy,73.142,World Bank (synthetic),
South Africa,2020,Life expectancy,72.164,World Bank (synthetic),
South Africa,2021,Life expectancy,72.934,World Bank (synthetic),
South Africa,2022,Life expectancy,74.321,World Bank (synthetic),
South Africa,2023,Life expectancy,74.436,World Bank (synthetic),
South Africa,2015,CO2 per capita,12.343,World Bank (synthetic),
South Africa,2016,CO2 per capita,11.901,World Bank (synthetic),
South Africa,2017,CO2 per capita,11.91,World Bank (synthetic),
South Africa,2018,CO2 per capita,11.93,World Bank (synthetic),
South Africa,2019,CO2 per capita,11.785,World Bank (synthetic),
South Africa,2020,CO2 per capita,11.752,World Bank (synthetic),
South Africa,2021,CO2 per capita,11.518,World Bank (synthetic),
South Africa,2022,CO2 per capita,11.283,World Bank (synthetic),
South Africa,2023,CO2 per capita,11.283,World Bank (synthetic),
Spain,2015,GDP per capita,43765.701,World Bank (synthetic),
Spain,2016,GDP per capita,46617.729,World Bank (synthetic),
Spain,2017,GDP per capita,47562.275,World Bank (synthetic),
Spain,2018,GDP per capita,49256.514,World Bank (synthetic),
Spain,2019,GDP per capita,49214.576,World Bank (synthetic),
Spain,2020,GDP per capita,51730.73,World Bank (synthetic),
Spain,2021,GDP per capita,53094.003,World Bank (synthetic),
Spain,2022,GDP per capita,54468.003,World Bank (synthetic),
Spain,2023,GDP per capita,54916.268,World Bank (synthetic),
Spain,2015,Population,383.368,World Bank (synthetic),
Spain,2016,Population,384.243,World Bank (synthetic),
Spain,2017,Population,382.402,World Bank (synthetic),
Spain,2018,Population,389.652,World Bank (synthetic),
Spain,2020,Population,381.111,World Bank (synthetic),
Spain,2021,Population,400.798,World Bank (synthetic),
Spain,2022,Population,408.868,World Bank (synthetic),
Spain,2023,Population,413.811,World Bank (synthetic),
Spain,2015,Life expectancy,81.374,World Bank (synthetic),
Spain,2016,Life expectancy,80.548,World Bank (synthetic),
Spain,2017,Life expectancy,80.696,World Bank (synthetic),
Spain,2018,Life expectancy,81.443,World Bank (synthetic),
Spain,2019,Life expectancy,80.002,World Bank (synthetic),
Spain,2020,Life expectancy,80.767,World Bank (synthetic),
Spain,2021,Life expectancy,82.078,World Bank (synthetic),
Spain,2022,Life expectancy,83.521,World Bank (synthetic),
Spain,2023,Life expectancy,81.107,World Bank (synthetic),
Spain,2015,CO2 per capita,12.233,World Bank (synthetic),
Spain,2016,CO2 per capita,12.318,World Bank (synthetic),
Spain,2017,CO2 per capita,11.948,World Bank (synthetic),
Spain,2018,CO2 per capita,12.095,World Bank (synthetic),
Spain,2019,CO2 per capita,11.546,World Bank (synthetic),
Spain,2020,CO2 per capita,11.566,World Bank (synthetic),
Spain,2021,CO2 per capita,11.449,World Bank (synthetic),
Spain,2022,CO2 per capita,11.502,World Bank (synthetic),
Spain,2023,CO2 per capita,11.431,World Bank (synthetic),
United Kingdom,2015,GDP per capita,14694.026,World Bank (synthetic),
United Kingdom,2016,GDP per capita,15423.028,World Bank (synthetic),
United Kingdom,2017,GDP per capita,15649.687,World Bank (synthetic),
United Kingdom,2018,GDP per capita,15908.254,World Bank (synthetic),
United Kingdom,2019,GDP per capita,17029.637,World Bank (synthetic),
United Kingdom,2020,GDP per capita,17399.459,World Bank (synthetic),
United Kingdom,2021,GDP per capita,17921.231,World Bank (synthetic),
United Kingdom,2022,GDP per capita,18192.642,World Bank (synthetic),
United Kingdom,2023,GDP per capita,19164.306,World Bank (synthetic),
United Kingdom,2015,Population,389.495,World Bank (synthetic),
United Kingdom,2016,Population,381.733,World Bank (synthetic),
United Kingdom,2017,Population,385.887,World Bank (synthetic),
United Kingdom,2018,Population,396.016,World Bank (synthetic),
United Kingdom,2019,Population,394.552,World Bank (synthetic),
United Kingdom,2020,Population,406.82,World Bank (synthetic),
United Kingdom,2021,Population,408.354,World Bank (synthetic),
United Kingdom,2022,Population,405.147,World Bank (synthetic),
United Kingdom,2023,Population,415.397,World Bank (synthetic),
United Kingdom,2015,Life expectancy,60.776,World Bank (synthetic),
United Kingdom,2016,Life expectancy,59.503,World Bank (synthetic),
United Kingdom,2017,Life expectancy,59.796,World Bank (synthetic),
United Kingdom,2018,Life expectancy,61.409,World Bank (synthetic),
United Kingdom,2019,Life expectancy,62.463,World Bank (synthetic),
United Kingdom,2020,Life expectancy,62.37,World Bank (synthetic),
United Kingdom,2021,Life expectancy,60.733,World Bank (synthetic),
United Kingdom,2022,Life expectancy,60.997,World Bank (synthetic),
United Kingdom,2023,Life expectancy,62.32,World Bank (synthetic),
United Kingdom,2015,CO2 per capita,12.054,World Bank (synthetic),
United Kingdom,2016,CO2 per capita,12.132,World Bank (synthetic),
United Kingdom,2017,CO2 per capita,12.07,World Bank (synthetic),
United Kingdom,2018,CO2 per capita,11.722,World Bank (synthetic),
United Kingdom,2019,CO2 per capita,11.46,World Bank (synthetic),
United Kingdom,2020,CO2 per capita,11.382,World Bank (synthetic),
United Kingdom,2021,CO2 per capita,11.632,World Bank (synthetic),
United Kingdom,2022,CO2 per capita,11.272,World Bank (synthetic),
United Kingdom,2023,CO2 per capita,11.264,World Bank (synthetic),
United States,2015,GDP per capita,11770.846,World Bank (synthetic),
United States,2016,GDP per capita,11952.066,World Bank (synthetic),
United States,2017,GDP per capita,12465.34,World Bank (synthetic),
United States,2018,GDP per capita,12573.823,World Bank (synthetic),
United States,2019,GDP per capita,13055.066,World Bank (synthetic),
United States,2020,GDP per capita,13312.321,World Bank (synthetic),
United States,2021,GDP per capita,14162.085,World Bank (synthetic),
United States,2022,GDP per capita,14337.619,World Bank (synthetic),
United States,2023,GDP per capita,14609.914,World Bank (synthetic),
United States,2015,Population,1121.135,World Bank (synthetic),
United States,2016,Population,1148.063,World Bank (synthetic),
United States,2017,Population,1120.021,World Bank (synthetic),
United States,2018,Population,1140.929,World Bank (synthetic),
United States,2019,Population,1163.911,World Bank (synthetic),
United States,2020,Population,1227.163,World Bank (synthetic),
United States,2021,Population,1211.196,World Bank (synthetic),
United States,2022,Population,1204.003,World Bank (synthetic),
United States,2023,Population,1231.088,World Bank (synthetic),
United States,2015,Life expectancy,76.806,World Bank (synthetic),
United States,2016,Life expectancy,76.806,World Bank (synthetic),
United States,2017,Life expectancy,78.791,World Bank (synthetic),
United States,2018,Life expectancy,78.114,World Bank (synthetic),
United States,2019,Life expectancy,78.477,World Bank (synthetic),
United States,2020,Life expectancy,77.256,World Bank (synthetic),
United States,2021,Life expectancy,80.257,World Bank (synthetic),
United States,2022,Life expectancy,80.166,World Bank (synthetic),
United States,2023,Life expectancy,78.983,World Bank (synthetic),
United States,2015,CO2 per capita,1.833,World Bank (synthetic),
United States,2016,CO2 per capita,1.889,World Bank (synthetic),
United States,2017,CO2 per capita,1.847,World Bank (synthetic),
United States,2018,CO2 per capita,1.846,World Bank (synthetic),
United States,2019,CO2 per capita,1.834,World Bank (synthetic),
United States,2020,CO2 per capita,1.788,World Bank (synthetic),
United States,2021,CO2 per capita,1.735,World Bank (synthetic),
United States,2022,CO2 per capita,1.772,World Bank (synthetic),
United States,2023,CO2 per capita,1.725,World Bank (synthetic),
